"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"31","0460619","6","4","4","1","3252","0","0","0","0","0","0","0","0","0","2838","0","0","0","0","0","0","0","0","0","0","0","1152","0","0","0","0","1481","0","1305","0","1405","11","1363","8","56","2","1337","1526","1169","1703","1011","1925","758","1491","1210","1852","881","1333","1290","1441","1155","1843","793","884","1803","1911","740","1263","1351","1640","949","0","0","0","0","0"
"31","0460622","6","4","4","1","1887","0","0","0","0","0","0","0","0","0","1726","0","0","0","0","0","0","0","0","0","0","0","654","0","0","0","0","962","0","803","0","855","3","874","6","16","2","792","969","685","1132","533","1216","435","982","682","1148","524","879","743","892","735","1280","346","463","1202","1267","375","856","756","1066","544","0","0","0","0","0"
"31","0460625","6","4","4","1","10516","0","0","0","0","0","0","0","0","0","9286","0","0","0","0","0","0","0","0","0","0","0","3664","0","0","0","0","5011","0","4195","0","4698","20","4342","40","151","17","4569","4985","3853","5714","3252","6255","2590","5015","3897","6134","2884","4533","4149","4724","3954","6344","2443","2714","6162","6373","2408","4232","4508","5642","2991","0","0","0","0","0"
"31","0460626","6","4","4","1","1504","0","0","0","0","0","0","0","0","0","1295","0","0","0","0","0","0","0","0","0","0","0","552","0","0","0","0","648","0","618","0","620","3","640","2","21","2","604","671","559","756","485","822","411","667","572","834","418","633","578","711","490","816","407","422","807","862","353","566","637","757","450","0","0","0","0","0"
"31","0460631","6","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0460633","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0460637","6","4","4","1","4444","0","0","0","0","0","0","0","0","0","3861","0","0","0","0","0","0","0","0","0","0","0","1663","0","0","0","0","1922","0","1809","0","1875","16","1893","17","71","7","1797","1975","1689","2215","1500","2483","1173","2043","1669","2530","1208","1798","1804","1992","1599","2453","1183","1169","2507","2499","1134","1601","2003","2217","1343","0","0","0","0","0"
"31","0460642","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0462301","6","4","4","1","633","0","0","0","0","0","0","0","0","0","532","0","0","0","0","0","0","0","0","0","0","0","160","0","0","0","0","339","0","172","0","335","2","186","0","2","0","332","344","166","378","140","399","116","323","187","383","129","310","200","265","243","394","117","144","368","391","120","310","202","371","135","0","0","0","0","0"
"31","0462305","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0462308","6","4","4","1","495","0","0","0","0","0","0","0","0","0","438","0","0","0","0","0","0","0","0","0","0","0","133","0","0","0","0","280","0","157","0","269","1","161","5","6","1","257","273","146","307","116","321","102","271","152","323","104","259","163","199","217","344","78","100","324","329","94","254","166","295","117","0","0","0","0","0"
"31","0462401","6","4","1","1","10219","0","0","0","0","0","0","0","0","0","9210","0","0","0","0","0","0","0","0","0","0","0","3099","0","0","0","0","5605","0","3710","0","5177","23","4015","30","158","10","4783","5568","3198","6336","2509","6752","2050","5452","3432","6494","2416","5199","3461","4426","4181","7129","1630","2318","6530","6870","1853","5014","3631","6002","2628","0","3176","0","0","5467"
"31","0462409","6","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0462413","6","4","1","1","2829","0","0","0","0","0","0","0","0","0","2491","0","0","0","0","0","0","0","0","0","0","0","849","0","0","0","0","1514","0","968","0","1450","12","1023","5","36","1","1339","1582","809","1777","634","1860","519","1485","925","1815","600","1405","955","1179","1160","1950","437","626","1773","1904","478","1428","927","1656","700","0","846","0","0","1506"
"31","0462415","6","4","1","1","2513","0","0","0","0","0","0","0","0","0","2301","0","0","0","0","0","0","0","0","0","0","0","766","0","0","0","0","1420","0","891","0","1340","2","929","5","38","3","1284","1394","799","1664","559","1733","466","1407","827","1716","515","1285","891","1090","1054","1867","340","552","1660","1771","412","1269","912","1531","637","0","776","0","0","1399"
"31","0462419","6","4","1","1","348","0","0","0","0","0","0","0","0","0","310","0","0","0","0","0","0","0","0","0","0","0","84","0","0","0","0","211","0","104","0","197","0","105","0","5","0","196","226","72","254","48","256","40","199","102","248","53","191","107","143","155","262","42","61","240","251","48","186","114","226","72","0","90","0","0","200"
"31","0510101","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0510102","1","1","1","1","6","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","5","0","1","0","5","0","0","0","1","0","5","1","4","0","5","0","5","1","4","3","2","3","2","3","2","2","2","3","2","2","3","0","5","0","5","0","0","1"
"31","0510201","1","1","1","1","1208","0","0","0","0","0","0","0","0","0","996","0","0","0","0","0","0","0","0","0","0","0","415","0","0","0","0","506","0","437","0","515","4","436","3","21","3","516","581","367","631","322","722","223","519","444","682","283","516","423","530","400","677","272","339","622","705","243","468","467","609","322","0","407","0","0","512"
"31","0512201","1","1","1","1","30","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","19","0","9","0","19","0","10","0","0","0","16","18","7","24","3","20","8","17","11","20","8","10","18","14","13","22","6","5","21","26","2","18","10","18","7","0","9","0","0","19"
"31","0512501","1","1","1","1","4533","0","0","0","0","0","0","0","0","0","3977","0","0","0","0","0","0","0","0","0","0","0","1575","0","0","0","0","2152","0","1683","0","2115","13","1715","17","43","8","2119","2302","1478","2590","1226","2863","944","2283","1551","2768","1083","2095","1659","2089","1643","2731","1064","1270","2557","2903","894","2036","1707","2539","1195","0","1531","0","0","2191"
"31","0512509","1","1","1","1","1804","0","0","0","0","0","0","0","0","0","1571","0","0","0","0","0","0","0","0","0","0","0","599","0","0","0","0","885","0","645","0","859","1","654","6","34","6","837","954","542","1048","471","1131","368","892","638","1096","433","817","662","772","699","1117","360","495","1016","1155","331","824","657","1003","467","0","596","0","0","890"
